,Airline,Airline_ID,S_Port,S_ID,D_Port,D_ID,Codeshare,Stops,Equipment,Active
0,2B,410.0,AER,2965,KZN,2990,,0,CR2,Y
1,2B,410.0,ASF,2966,KZN,2990,,0,CR2,Y
2,2B,410.0,ASF,2966,MRV,2962,,0,CR2,Y
3,2B,410.0,CEK,2968,KZN,2990,,0,CR2,Y
4,2B,410.0,CEK,2968,OVB,4078,,0,CR2,Y
5,2B,410.0,DME,4029,KZN,2990,,0,CR2,Y
6,2B,410.0,DME,4029,NBC,6969,,0,CR2,Y
7,2B,410.0,DME,4029,TGK,\N,,0,CR2,Y
8,2B,410.0,DME,4029,UUA,6160,,0,CR2,Y
9,2B,410.0,EGO,6156,KGD,2952,,0,CR2,Y
10,2B,410.0,EGO,6156,KZN,2990,,0,CR2,Y
11,2B,410.0,GYD,2922,NBC,6969,,0,CR2,Y
12,2B,410.0,KGD,2952,EGO,6156,,0,CR2,Y
13,2B,410.0,KZN,2990,AER,2965,,0,CR2,Y
14,2B,410.0,KZN,2990,ASF,2966,,0,CR2,Y
15,2B,410.0,KZN,2990,CEK,2968,,0,CR2,Y
16,2B,410.0,KZN,2990,DME,4029,,0,CR2,Y
17,2B,410.0,KZN,2990,EGO,6156,,0,CR2,Y
18,2B,410.0,KZN,2990,LED,2948,,0,CR2,Y
19,2B,410.0,KZN,2990,SVX,2975,,0,CR2,Y
20,2B,410.0,LED,2948,KZN,2990,,0,CR2,Y
21,2B,410.0,LED,2948,NBC,6969,,0,CR2,Y
22,2B,410.0,LED,2948,UUA,6160,,0,CR2,Y
23,2B,410.0,MRV,2962,ASF,2966,,0,CR2,Y
24,2B,410.0,NBC,6969,DME,4029,,0,CR2,Y
25,2B,410.0,NBC,6969,GYD,2922,,0,CR2,Y
26,2B,410.0,NBC,6969,LED,2948,,0,CR2,Y
27,2B,410.0,NBC,6969,SVX,2975,,0,CR2,Y
28,2B,410.0,NJC,2972,SVX,2975,,0,CR2,Y
29,2B,410.0,NJC,2972,UUA,6160,,0,CR2,Y
30,2B,410.0,NUX,4364,SVX,2975,,0,CR2,Y
31,2B,410.0,OVB,4078,CEK,2968,,0,CR2,Y
32,2B,410.0,OVB,4078,SVX,2975,,0,CR2,Y
33,2B,410.0,SVX,2975,KZN,2990,,0,CR2,Y
34,2B,410.0,SVX,2975,NBC,6969,,0,CR2,Y
35,2B,410.0,SVX,2975,NJC,2972,,0,CR2,Y
36,2B,410.0,SVX,2975,NUX,4364,,0,CR2,Y
37,2B,410.0,SVX,2975,OVB,4078,,0,CR2,Y
38,2B,410.0,TGK,\N,DME,4029,,0,CR2,Y
39,2B,410.0,UUA,6160,DME,4029,,0,CR2,Y
40,2B,410.0,UUA,6160,LED,2948,,0,CR2,Y
41,2B,410.0,UUA,6160,NJC,2972,,0,CR2,Y
63,2I,8359.0,AYP,2786,LIM,2789,,0,142,Y
64,2I,8359.0,CUZ,2812,LIM,2789,,0,142 141,Y
65,2I,8359.0,CUZ,2812,PEM,2808,,0,142,Y
66,2I,8359.0,HUU,6067,LIM,2789,,0,141,Y
67,2I,8359.0,IQT,2801,PCL,2781,,0,143,Y
68,2I,8359.0,IQT,2801,TPP,2806,,0,142,Y
69,2I,8359.0,LIM,2789,AYP,2786,,0,142,Y
70,2I,8359.0,LIM,2789,CUZ,2812,,0,142 141,Y
71,2I,8359.0,LIM,2789,HUU,6067,,0,141,Y
72,2I,8359.0,LIM,2789,PCL,2781,,0,143 146,Y
73,2I,8359.0,LIM,2789,TPP,2806,,0,142 146,Y
74,2I,8359.0,PCL,2781,IQT,2801,,0,143,Y
75,2I,8359.0,PCL,2781,LIM,2789,,0,143 146,Y
76,2I,8359.0,PCL,2781,TPP,2806,,0,146,Y
77,2I,8359.0,PEM,2808,CUZ,2812,,0,142,Y
78,2I,8359.0,TPP,2806,IQT,2801,,0,142,Y
79,2I,8359.0,TPP,2806,LIM,2789,,0,142 146,Y
80,2I,8359.0,TPP,2806,PCL,2781,,0,146,Y
81,2J,470.0,ABJ,253,BOY,247,,0,CRJ,Y
82,2J,470.0,ABJ,253,OUA,246,,0,E70 CRJ M87,Y
83,2J,470.0,ACC,248,OUA,246,,0,CRJ,Y
84,2J,470.0,BKO,1044,ABJ,253,,0,M87,Y
85,2J,470.0,BKO,1044,DKR,1084,,0,M87,Y
86,2J,470.0,BKO,1044,OUA,246,,0,CRJ,Y
87,2J,470.0,BOY,247,ABJ,253,,0,CRJ,Y
88,2J,470.0,BOY,247,OUA,246,,0,CRJ,Y
89,2J,470.0,COO,245,LFW,298,,0,M87,Y
90,2J,470.0,COO,245,OUA,246,,0,M87,Y
91,2J,470.0,DKR,1084,BKO,1044,,0,M87,Y
92,2J,470.0,DKR,1084,OUA,246,,0,M87,Y
