index,Port,IATA,ICAO,Latitude,Longitude,Name,Country
0,AAE,AAE,DABB,36.82220077514648,7.8091697692871085,Annaba Airport,Algeria
1,AAL,AAL,EKYT,57.092758913800004,9.84924316406,Aalborg Airport,Denmark
2,AAN,AAN,OMAL,24.261699676513672,55.60919952392578,Al Ain International Airport,United Arab Emirates
3,AAQ,AAQ,URKA,45.002101898193,37.347301483154,Anapa Vityazevo Airport,Russia
4,AAR,AAR,EKAH,56.2999992371,10.619000434899998,Aarhus Airport,Denmark
6,AAX,AAX,SBAX,-19.563199996948,-46.960399627686,Romeu Zema Airport,Brazil
7,AAY,AAY,OYGD,16.191699981689453,52.17499923706055,Al Ghaidah International Airport,Yemen
8,ABA,ABA,UNAA,53.7400016784668,91.38500213623048,Abakan Airport,Russia
10,ABD,ABD,OIAA,30.371099471999997,48.2282981873,Abadan Airport,Iran
11,ABE,ABE,KABE,40.652099609375,-75.44080352783203,Lehigh Valley International Airport,United States
12,ABI,ABI,KABI,32.4113006592,-99.68190002440001,Abilene Regional Airport,United States
13,ABJ,ABJ,DIAP,5.261390209197998,-3.9262900352478023,Port Bouet Airport,Cote d'Ivoire
14,ABL,ABL,PAFM,67.106300354,-157.85699462899998,Ambler Airport,United States
15,ABM,ABM,YBAM,-10.9508,142.459,Northern Peninsula Airport,Australia
16,ABQ,ABQ,KABQ,35.04019927978516,-106.60900115966795,Albuquerque International Sunport Airport,United States
17,ABR,ABR,KABR,45.44910049438477,-98.42179870605469,Aberdeen Regional Airport,United States
18,ABS,ABS,HEBL,22.3759994507,31.611700058,Abu Simbel Airport,Egypt
19,ABT,ABT,OEBA,20.296100616500002,41.6343002319,Al Baha Airport,Saudi Arabia
20,ABV,ABV,DNAA,9.006790161132812,7.263169765472412,Nnamdi Azikiwe International Airport,Nigeria
21,ABX,ABX,YMAY,-36.06779861450195,146.95799255371094,Albury Airport,Australia
22,ABY,ABY,KABY,31.535499572753906,-84.19450378417969,Southwest Georgia Regional Airport,United States
23,ABZ,ABZ,EGPD,57.20190048217773,-2.1977798938751216,Aberdeen Dyce Airport,United Kingdom
24,ACA,ACA,MMAA,16.757099151611328,-99.75399780273438,General Juan N Alvarez International Airport,Mexico
25,ACC,ACC,DGAA,5.605189800262451,-0.16678600013256073,Kotoka International Airport,Ghana
26,ACE,ACE,GCRR,28.945499420166016,-13.605199813842773,Lanzarote Airport,Spain
27,ACH,ACH,LSZR,47.4850006104,9.560770034789998,St Gallen Altenrhein Airport,Switzerland
28,ACI,ACI,EGJA,49.70610046386719,-2.2147200107574463,Alderney Airport,Guernsey
29,ACK,ACK,KACK,41.25310135,-70.06020355,Nantucket Memorial Airport,United States
30,ACR,ACR,SKAC,-0.5833,-72.4083,Araracuara Airport,Colombia
31,ACT,ACT,KACT,31.61129951477051,-97.23049926757812,Waco Regional Airport,United States
33,ACV,ACV,KACV,40.97809982299805,-124.10900115966795,Arcata Airport,United States
