,index,Port
0,0,AAE
1,1,AAL
2,2,AAN
3,3,AAQ
4,4,AAR
5,5,AAT
6,6,AAX
7,7,AAY
8,8,ABA
9,9,ABB
10,10,ABD
11,11,ABE
12,12,ABI
13,13,ABJ
14,14,ABL
15,15,ABM
16,16,ABQ
17,17,ABR
18,18,ABS
19,19,ABT
20,20,ABV
21,21,ABX
22,22,ABY
23,23,ABZ
24,24,ACA
25,25,ACC
26,26,ACE
27,27,ACH
28,28,ACI
29,29,ACK
30,30,ACR
31,31,ACT
32,32,ACU
33,33,ACV
34,34,ACX
35,35,ACY
36,36,ACZ
37,37,ADA
38,38,ADB
39,39,ADD
40,40,ADE
41,41,ADF
42,42,ADK
43,43,ADL
44,44,ADQ
45,45,ADU
46,46,ADZ
47,47,AEB
48,48,AEP
49,49,AER
50,50,AES
51,51,AET
52,52,AEX
53,53,AEY
54,54,AFA
55,55,AFL
56,56,AFZ
57,57,AGA
58,58,AGB
59,59,AGF
60,60,AGH
61,61,AGM
62,62,AGN
63,63,AGP
64,64,AGR
65,65,AGS
66,66,AGT
67,67,AGU
68,68,AGX
69,69,AHB
70,70,AHE
71,71,AHN
72,72,AHO
73,73,AHU
74,74,AIA
75,75,AIN
76,76,AIT
77,77,AIU
78,78,AJA
79,79,AJF
80,80,AJI
81,81,AJL
82,82,AJR
83,83,AJU
84,84,AKB
85,85,AKF
86,86,AKI
87,87,AKJ
88,88,AKK
89,89,AKL
90,90,AKN
91,91,AKP
92,92,AKU
93,93,AKX
94,94,AKY
95,95,ALA
96,96,ALB
97,97,ALC
98,98,ALF
99,99,ALG
100,100,ALH
101,101,ALO
102,102,ALS
103,103,ALW
104,104,AMA
105,105,AMD
106,106,AMH
107,107,AMM
108,108,AMQ
109,109,AMS
110,110,ANC
111,111,ANF
112,112,ANG
113,113,ANI
114,114,ANM
115,115,ANR
116,116,ANS
117,117,ANU
118,118,ANV
119,119,ANX
120,120,AOE
121,121,AOG
122,122,AOI
123,123,AOJ
124,124,AOK
125,125,AOO
126,126,AOQ
127,127,AOR
128,128,AOS
129,129,APL
130,130,APN
131,131,APO
132,132,APW
133,133,AQA
134,134,AQG
135,135,AQI
136,136,AQJ
137,137,AQP
138,138,ARC
139,139,ARH
140,140,ARI
141,141,ARK
142,142,ARM
143,143,ARN
144,144,ART
145,145,ARU
146,146,ARW
147,147,ASB
148,148,ASE
149,149,ASF
150,150,ASJ
151,151,ASM
152,152,ASO
153,153,ASP
154,154,ASR
155,155,ASU
156,156,ASV
157,157,ASW
158,158,ATA
159,159,ATC
160,160,ATD
161,161,ATH
162,162,ATK
163,163,ATL
164,164,ATM
165,165,ATQ
166,166,ATT
167,167,ATW
168,168,ATY
169,169,ATZ
170,170,AUA
171,171,AUC
172,172,AUG
173,173,AUH
174,174,AUK
175,175,AUQ
176,176,AUR
177,177,AUS
178,178,AUU
179,179,AUX
180,180,AUY
181,181,AVA
182,182,AVL
183,183,AVN
184,184,AVP
185,185,AVV
186,186,AWD
187,187,AWZ
188,188,AXA
189,189,AXD
190,190,AXK
191,191,AXM
192,192,AXP
193,193,AXR
194,194,AXT
195,195,AXU
196,196,AYP
197,197,AYQ
198,198,AYT
199,199,AZA
200,200,AZD
201,201,AZI
202,202,AZN
203,203,AZO
204,204,AZR
205,205,AZS
206,206,BAH
207,207,BAL
208,208,BAQ
209,209,BAV
210,210,BAX
211,211,BAY
212,212,BAZ
213,213,BBA
214,214,BBI
215,215,BBK
216,216,BBN
217,217,BBO
218,218,BCD
219,219,BCI
220,220,BCN
221,221,BCV
222,222,BDA
223,223,BDB
224,224,BDH
225,225,BDJ
226,226,BDL
227,227,BDO
228,228,BDP
229,229,BDQ
230,230,BDS
231,231,BDU
232,232,BEB
233,233,BEG
234,234,BEJ
235,235,BEL
236,236,BEN
237,237,BES
238,238,BET
239,239,BEU
240,240,BEW
241,241,BEY
242,242,BFD
243,243,BFF
244,244,BFI
245,245,BFJ
246,246,BFL
247,247,BFN
248,248,BFQ
249,249,BFS
250,250,BFV
251,251,BGA
252,252,BGF
253,253,BGG
254,254,BGI
255,255,BGM
256,256,BGO
257,257,BGR
258,258,BGW
259,259,BGY
260,260,BHB
261,261,BHD
262,262,BHE
263,263,BHH
264,264,BHI
265,265,BHJ
266,266,BHK
267,267,BHM
268,268,BHO
269,269,BHQ
270,270,BHR
271,271,BHS
272,272,BHU
273,273,BHV
274,274,BHX
275,275,BHY
276,276,BIA
277,277,BIK
278,278,BIL
279,279,BIM
280,280,BIO
281,281,BIQ
282,282,BIR
283,283,BIS
284,284,BJA
285,285,BJB
286,286,BJF
287,287,BJI
288,288,BJL
289,289,BJM
290,290,BJR
291,291,BJV
292,292,BJX
293,293,BJZ
294,294,BKC
295,295,BKG
296,296,BKI
297,297,BKK
298,298,BKM
299,299,BKO
300,300,BKQ
301,301,BKS
302,302,BKW
303,303,BKY
304,304,BKZ
305,305,BLA
306,306,BLD
307,307,BLI
308,308,BLJ
309,309,BLK
310,310,BLL
311,311,BLQ
312,312,BLR
313,313,BLV
314,314,BLZ
315,315,BMA
316,316,BME
317,317,BMI
318,318,BMU
319,319,BMV
320,320,BMW
321,321,BMY
322,322,BNA
323,323,BNB
324,324,BNC
325,325,BND
326,326,BNE
327,327,BNI
328,328,BNK
329,329,BNN
330,330,BNS
331,331,BNX
332,332,BNY
333,333,BOB
334,334,BOC
335,335,BOD
336,336,BOG
337,337,BOH
338,338,BOI
339,339,BOJ
340,340,BOM
341,341,BON
342,342,BOO
343,343,BOS
344,344,BOY
345,345,BPL
346,346,BPN
347,347,BPS
348,348,BPT
349,349,BPX
350,350,BQB
351,351,BQK
352,352,BQL
353,353,BQN
354,354,BQS
355,355,BRA
356,356,BRC
357,357,BRD
358,358,BRE
359,359,BRI
360,360,BRL
361,361,BRM
362,362,BRN
363,363,BRO
364,364,BRQ
365,365,BRR
366,366,BRS
367,367,BRU
368,368,BRW
369,369,BSA
370,370,BSB
371,371,BSC
372,372,BSD
373,373,BSK
374,374,BSL
375,375,BSO
376,376,BSR
377,377,BSS
378,378,BTC
379,379,BTH
380,380,BTI
381,381,BTJ
382,382,BTK
383,383,BTM
384,384,BTR
385,385,BTS
386,386,BTT
387,387,BTU
388,388,BTV
389,389,BUA
390,390,BUC
391,391,BUD
392,392,BUF
393,393,BUL
394,394,BUN
395,395,BUQ
396,396,BUR
397,397,BUS
398,398,BUW
399,399,BUX
400,400,BUZ
401,401,BVA
402,402,BVB
403,403,BVC
404,404,BVE
405,405,BVG
406,406,BVH
407,407,BVI
408,408,BVV
409,409,BWA
410,410,BWI
411,411,BWK
412,412,BWN
413,413,BWT
414,414,BXB
415,415,BXR
416,416,BXU
417,417,BYC
418,418,BYN
419,419,BYO
420,420,BZE
421,421,BZG
422,422,BZL
423,423,BZN
424,424,BZO
425,425,BZR
426,426,BZV
427,427,CAB
428,428,CAC
429,429,CAE
430,430,CAG
431,431,CAH
432,432,CAI
433,433,CAJ
434,434,CAK
435,435,CAL
436,436,CAN
437,437,CAP
438,438,CAW
439,439,CAY
440,440,CBB
441,441,CBH
442,442,CBO
443,443,CBQ
444,444,CBR
445,445,CBS
446,446,CBT
447,447,CCC
448,448,CCF
449,449,CCJ
450,450,CCK
451,451,CCM
452,452,CCP
453,453,CCS
454,454,CCU
455,455,CCV
456,456,CDB
457,457,CDC
458,458,CDG
459,459,CDJ
460,460,CDR
461,461,CDV
462,462,CEB
463,463,CEC
464,464,CED
465,465,CEE
466,466,CEG
467,467,CEI
468,468,CEK
469,469,CEN
470,470,CEZ
471,471,CFB
472,472,CFE
473,473,CFK
474,474,CFN
475,475,CFR
476,476,CFS
477,477,CFU
478,478,CGA
479,479,CGB
480,480,CGD
481,481,CGH
482,482,CGI
483,483,CGK
484,484,CGM
485,485,CGN
486,486,CGO
487,487,CGP
488,488,CGQ
489,489,CGR
490,490,CGY
491,491,CHA
492,492,CHC
493,493,CHG
494,494,CHO
495,495,CHQ
496,496,CHS
497,497,CHU
498,498,CHX
499,499,CHY
500,500,CIA
501,501,CIC
502,502,CID
503,503,CIF
504,504,CIH
505,505,CIJ
506,506,CIP
507,507,CIT
508,508,CIU
509,509,CIX
510,510,CIY
511,511,CIZ
512,512,CJA
513,513,CJB
514,514,CJC
515,515,CJJ
516,516,CJL
517,517,CJM
518,518,CJS
519,519,CJU
520,520,CKB
521,521,CKD
522,522,CKG
523,523,CKH
524,524,CKS
525,525,CKX
526,526,CKY
527,527,CKZ
528,528,CLD
529,529,CLE
530,530,CLJ
531,531,CLL
532,532,CLM
533,533,CLO
534,534,CLQ
535,535,CLT
536,536,CLV
537,537,CLY
538,538,CMA
539,539,CMB
540,540,CME
541,541,CMG
542,542,CMH
543,543,CMI
544,544,CMN
545,545,CMP
546,546,CMU
547,547,CMW
548,548,CMX
549,549,CND
550,550,CNF
551,551,CNJ
552,552,CNM
553,553,CNP
554,554,CNS
555,555,CNX
556,556,CNY
557,557,COD
558,558,COK
559,559,COO
560,560,COQ
561,561,COR
562,562,COS
563,563,COU
564,564,CPC
565,565,CPD
566,566,CPE
567,567,CPH
568,568,CPO
569,569,CPR
570,570,CPT
571,571,CPV
572,572,CPX
573,573,CRA
574,574,CRD
575,575,CRI
576,576,CRK
577,577,CRL
578,578,CRM
579,579,CRP
580,580,CRW
581,581,CSG
582,582,CSH
583,583,CSK
584,584,CSX
585,585,CTA
586,586,CTC
587,587,CTG
588,588,CTL
589,589,CTM
590,590,CTS
591,591,CTU
592,592,CUC
593,593,CUE
594,594,CUF
595,595,CUK
596,596,CUL
597,597,CUM
598,598,CUN
599,599,CUQ
600,600,CUR
601,601,CUU
602,602,CUZ
603,603,CVG
604,604,CVM
605,605,CVU
606,606,CWA
607,607,CWB
608,608,CWL
609,609,CXB
610,610,CXH
611,611,CXI
612,612,CXJ
613,613,CXR
614,614,CYB
615,615,CYF
616,616,CYO
617,617,CYP
618,618,CYS
619,619,CYX
620,620,CYZ
621,621,CZE
622,622,CZH
623,623,CZJ
624,624,CZL
625,625,CZM
626,626,CZS
627,627,CZU
628,628,CZX
629,629,DAB
630,630,DAC
631,631,DAD
632,632,DAL
633,633,DAR
634,634,DAT
635,635,DAU
636,636,DAV
637,637,DAX
638,638,DAY
639,639,DBA
640,640,DBO
641,641,DBQ
642,642,DBV
643,643,DCA
644,644,DCM
645,645,DCN
646,646,DCY
647,647,DDC
648,648,DDG
649,649,DEA
650,650,DEB
651,651,DEC
652,652,DED
653,653,DEE
654,654,DEF
655,655,DEL
656,656,DEN
657,657,DFW
658,658,DGA
659,659,DGO
660,660,DGT
661,661,DHB
662,662,DHI
663,663,DHM
664,664,DHN
665,665,DIB
666,666,DIE
667,667,DIG
668,668,DIJ
669,669,DIK
670,670,DIL
671,671,DIN
672,672,DIR
673,673,DIU
674,674,DIW
675,675,DIY
676,676,DJB
677,677,DJE
678,678,DJG
679,679,DJJ
680,680,DKR
681,681,DLA
682,682,DLC
683,683,DLE
684,684,DLG
685,685,DLH
686,686,DLI
687,687,DLM
688,688,DLU
689,689,DLY
690,690,DLZ
691,691,DMB
692,692,DMD
693,693,DME
694,694,DMK
695,695,DMM
696,696,DMU
697,697,DND
698,698,DNH
699,699,DNK
700,700,DNR
701,701,DNZ
702,702,DOH
703,703,DOK
704,704,DOL
705,705,DOM
706,706,DOU
707,707,DOY
708,708,DPL
709,709,DPO
710,710,DPS
711,711,DQA
712,712,DRG
713,713,DRK
714,714,DRO
715,715,DRS
716,716,DRV
717,717,DRW
718,718,DSA
719,719,DSK
720,720,DSM
721,721,DSN
722,722,DTM
723,723,DTW
724,724,DUB
725,725,DUD
726,726,DUJ
727,727,DUR
728,728,DUS
729,729,DUT
730,730,DVO
731,731,DWC
732,732,DWD
733,733,DXB
734,734,DYG
735,735,DYR
736,736,DYU
737,737,DZA
738,738,DZN
739,739,EAE
740,740,EAM
741,741,EAR
742,742,EAS
743,743,EAT
744,744,EAU
745,745,EBA
746,746,EBB
747,747,EBH
748,748,EBJ
749,749,EBL
750,750,EBU
751,751,ECN
752,752,ECP
753,753,EDI
754,754,EDL
755,755,EDO
756,756,EDR
757,757,EEK
758,758,EFL
759,759,EGC
760,760,EGE
761,761,EGM
762,762,EGN
763,763,EGO
764,764,EGS
765,765,EGX
766,766,EIN
767,767,EIS
768,768,EJA
769,769,EJH
770,770,EKO
771,771,EKS
772,772,ELC
773,773,ELD
774,774,ELF
775,775,ELG
776,776,ELH
777,777,ELI
778,778,ELL
779,779,ELM
780,780,ELP
781,781,ELQ
782,782,ELS
783,783,ELU
784,784,ELV
785,785,EMA
786,786,EMD
787,787,EMK
788,788,ENA
789,789,ENE
790,790,ENH
791,791,ENU
792,792,ENY
793,793,EOH
794,794,EOI
795,795,EPR
796,796,EQS
797,797,ERC
798,798,ERF
799,799,ERI
800,800,ERL
801,801,ERN
802,802,ERS
803,803,ERZ
804,804,ESB
805,805,ESC
806,806,ESD
807,807,ESM
808,808,ESU
809,809,ETH
810,810,ETR
811,811,ETZ
812,812,EUG
813,813,EUN
814,814,EUX
815,815,EVE
816,816,EVG
817,817,EVN
818,818,EVV
819,819,EWB
820,820,EWN
821,821,EWR
822,822,EXT
823,823,EYK
824,824,EYP
825,825,EYW
826,826,EZE
827,827,EZS
828,828,FAE
829,829,FAI
830,830,FAO
831,831,FAR
832,832,FAT
833,833,FAV
834,834,FAY
835,835,FBM
836,836,FBS
837,837,FCA
838,838,FCO
839,839,FDE
840,840,FDF
841,841,FDH
842,842,FEG
843,843,FEN
844,844,FEZ
845,845,FIH
846,846,FJR
847,847,FKB
848,848,FKI
849,849,FKL
850,850,FKQ
851,851,FKS
852,852,FLA
853,853,FLG
854,854,FLL
855,855,FLN
856,856,FLO
857,857,FLR
858,858,FLS
859,859,FLW
860,860,FMA
861,861,FMI
862,862,FMM
863,863,FMN
864,864,FMO
865,865,FNA
866,866,FNC
867,867,FNI
868,868,FNJ
869,869,FNT
870,870,FOC
871,871,FOE
872,872,FON
873,873,FOR
874,874,FPO
875,875,FRA
876,876,FRD
877,877,FRE
878,878,FRO
879,879,FRS
880,880,FRU
881,881,FRW
882,882,FSC
883,883,FSD
884,884,FSM
885,885,FSP
886,886,FSZ
887,887,FTA
888,888,FTE
889,889,FTU
890,890,FUE
891,891,FUG
892,892,FUJ
893,893,FUK
894,894,FUN
895,895,FUO
896,896,FUT
897,897,FVM
898,898,FWA
899,899,FYU
900,900,GAE
901,901,GAF
902,902,GAJ
903,903,GAL
904,904,GAM
905,905,GAN
906,906,GAO
907,907,GAU
908,908,GBB
909,909,GBE
910,910,GBT
911,911,GCC
912,912,GCH
913,913,GCI
914,914,GCK
915,915,GCM
916,916,GCN
917,917,GCW
918,918,GDE
919,919,GDL
920,920,GDN
921,921,GDQ
922,922,GDT
923,923,GDV
924,924,GDX
925,925,GDZ
926,926,GEA
927,927,GEG
928,928,GEO
929,929,GES
930,930,GET
931,931,GEV
932,932,GFF
933,933,GFK
934,934,GFN
935,935,GGG
936,936,GGT
937,937,GGW
938,938,GHA
939,939,GHB
940,940,GHE
941,941,GHT
942,942,GIB
943,943,GIG
944,944,GIL
945,945,GIS
946,946,GIU
947,947,GIZ
948,948,GJA
949,949,GJT
950,950,GKA
951,951,GKK
952,952,GLA
953,953,GLF
954,954,GLH
955,955,GLK
956,956,GLN
957,957,GLO
958,958,GLT
959,959,GLV
960,960,GMA
961,961,GMB
962,962,GMO
963,963,GMP
964,964,GMR
965,965,GMZ
966,966,GND
967,967,GNV
968,968,GNY
969,969,GOA
970,970,GOH
971,971,GOI
972,972,GOJ
973,973,GOM
974,974,GOP
975,975,GOQ
976,976,GOT
977,977,GOU
978,978,GOV
979,979,GPA
980,980,GPI
981,981,GPS
982,982,GPT
983,983,GRB
984,984,GRI
985,985,GRJ
986,986,GRK
987,987,GRO
988,988,GRP
989,989,GRQ
990,990,GRR
991,991,GRU
992,992,GRW
993,993,GRX
994,994,GRZ
995,995,GSE
996,996,GSM
997,997,GSO
998,998,GSP
999,999,GST
1000,1000,GTE
1001,1001,GTF
1002,1002,GTO
1003,1003,GTR
1004,1004,GUA
1005,1005,GUC
1006,1006,GUM
1007,1007,GUR
1008,1008,GUW
1009,1009,GVA
1010,1010,GVR
1011,1011,GWD
1012,1012,GWL
1013,1013,GWT
1014,1014,GXF
1015,1015,GXH
1016,1016,GYA
1017,1017,GYD
1018,1018,GYE
1019,1019,GYN
1020,1020,GYS
1021,1021,GZO
1022,1022,GZP
1023,1023,GZT
1024,1024,HAA
1025,1025,HAC
1026,1026,HAD
1027,1027,HAH
1028,1028,HAJ
1029,1029,HAK
1030,1030,HAM
1031,1031,HAN
1032,1032,HAQ
1033,1033,HAS
1034,1034,HAU
1035,1035,HAV
1036,1036,HBA
1037,1037,HBE
1038,1038,HBX
1039,1039,HCR
1040,1040,HDF
1041,1041,HDG
1042,1042,HDM
1043,1043,HDN
1044,1044,HDS
1045,1045,HDY
1046,1046,HEA
1047,1047,HEH
1048,1048,HEK
1049,1049,HEL
1050,1050,HER
1051,1051,HET
1052,1052,HFA
1053,1053,HFE
1054,1054,HFS
1055,1055,HFT
1056,1056,HGA
1057,1057,HGH
1058,1058,HGN
1059,1059,HGR
1060,1060,HGU
1061,1061,HHH
1062,1062,HHN
1063,1063,HIA
1064,1064,HIB
1065,1065,HID
1066,1066,HIJ
1067,1067,HIN
1068,1068,HIR
1069,1069,HJJ
1070,1070,HJR
1071,1071,HKB
1072,1072,HKD
1073,1073,HKG
1074,1074,HKK
1075,1075,HKN
1076,1076,HKT
1077,1077,HLA
1078,1078,HLD
1079,1079,HLH
1080,1080,HLN
1081,1081,HLZ
1082,1082,HMA
1083,1083,HMB
1084,1084,HME
1085,1085,HMI
1086,1086,HMO
1087,1087,HMV
1088,1088,HNA
1089,1089,HND
1090,1090,HNH
1091,1091,HNL
1092,1092,HNM
1093,1093,HNS
1094,1094,HOB
1095,1095,HOD
1096,1096,HOE
1097,1097,HOF
1098,1098,HOG
1099,1099,HOI
1100,1100,HOM
1101,1101,HON
1102,1102,HOR
1103,1103,HOT
1104,1104,HOU
1105,1105,HOV
1106,1106,HPB
1107,1107,HPH
1108,1108,HPN
1109,1109,HRB
1110,1110,HRE
1111,1111,HRG
1112,1112,HRI
1113,1113,HRK
1114,1114,HRL
1115,1115,HRM
1116,1116,HRO
1117,1117,HSG
1118,1118,HSL
1119,1119,HSN
1120,1120,HSV
1121,1121,HTA
1122,1122,HTI
1123,1123,HTN
1124,1124,HTS
1125,1125,HTY
1126,1126,HUH
1127,1127,HUI
1128,1128,HUN
1129,1129,HUS
1130,1130,HUU
1131,1131,HUX
1132,1132,HUY
1133,1133,HVB
1134,1134,HVD
1135,1135,HVG
1136,1136,HVN
1137,1137,HVR
1138,1138,HYA
1139,1139,HYD
1140,1140,HYL
1141,1141,HYN
1142,1142,HZH
1143,1143,IAA
1144,1144,IAD
1145,1145,IAG
1146,1146,IAH
1147,1147,IAM
1148,1148,IAN
1149,1149,IAO
1150,1150,IAS
1151,1151,IBA
1152,1152,IBE
1153,1153,IBR
1154,1154,IBZ
1155,1155,ICI
1156,1156,ICN
1157,1157,ICT
1158,1158,IDA
1159,1159,IDR
1160,1160,IEV
1161,1161,IFJ
1162,1162,IFN
1163,1163,IFO
1164,1164,IGA
1165,1165,IGD
1166,1166,IGG
1167,1167,IGM
1168,1168,IGR
1169,1169,IGU
1170,1170,IIL
1171,1171,IJK
1172,1172,IKA
1173,1173,IKE
1174,1174,IKI
1175,1175,IKO
1176,1176,IKS
1177,1177,IKT
1178,1178,ILD
1179,1179,ILG
1180,1180,ILI
1181,1181,ILM
1182,1182,ILO
1183,1183,ILP
1184,1184,ILR
1185,1185,ILY
1186,1186,IMF
1187,1187,IMP
1188,1188,IMT
1189,1189,INB
1190,1190,INC
1191,1191,IND
1192,1192,INH
1193,1193,INL
1194,1194,INN
1195,1195,INU
1196,1196,INV
1197,1197,INZ
1198,1198,IOA
1199,1199,IOM
1200,1200,IOQ
1201,1201,IOS
1202,1202,IOT
1203,1203,IPA
1204,1204,IPC
1205,1205,IPH
1206,1206,IPI
1207,1207,IPL
1208,1208,IPN
1209,1209,IPT
1210,1210,IQN
1211,1211,IQQ
1212,1212,IQT
1213,1213,IRA
1214,1214,IRG
1215,1215,IRJ
1216,1216,IRK
1217,1217,IRP
1218,1218,IRZ
1219,1219,ISA
1220,1220,ISB
1221,1221,ISE
1222,1222,ISG
1223,1223,ISN
1224,1224,ISP
1225,1225,IST
1226,1226,ISU
1227,1227,ITB
1228,1228,ITH
1229,1229,ITM
1230,1230,ITO
1231,1231,IUE
1232,1232,IUI
1233,1233,IVC
1234,1234,IVL
1235,1235,IWJ
1236,1236,IWK
1237,1237,IXA
1238,1238,IXB
1239,1239,IXC
1240,1240,IXD
1241,1241,IXE
1242,1242,IXG
1243,1243,IXJ
1244,1244,IXL
1245,1245,IXM
1246,1246,IXR
1247,1247,IXS
1248,1248,IXU
1249,1249,IXZ
1250,1250,IZA
1251,1251,IZO
1252,1252,JAC
1253,1253,JAI
1254,1254,JAL
1255,1255,JAN
1256,1256,JAU
1257,1257,JAV
1258,1258,JAX
1259,1259,JBQ
1260,1260,JBR
1261,1261,JCK
1262,1262,JDH
1263,1263,JDO
1264,1264,JDZ
1265,1265,JED
1266,1266,JEG
1267,1267,JER
1268,1268,JFK
1269,1269,JFR
1270,1270,JGA
1271,1271,JGD
1272,1272,JGN
1273,1273,JGS
1274,1274,JHB
1275,1275,JHG
1276,1276,JHM
1277,1277,JHS
1278,1278,JHW
1279,1279,JIB
1280,1280,JIC
1281,1281,JIJ
1282,1282,JIK
1283,1283,JIM
1284,1284,JIQ
1285,1285,JIU
1286,1286,JJA
1287,1287,JJN
1288,1288,JJU
1289,1289,JKG
1290,1290,JKH
1291,1291,JKL
1292,1292,JKR
1293,1293,JLN
1294,1294,JLR
1295,1295,JMK
1296,1296,JMU
1297,1297,JNB
1298,1298,JNG
1299,1299,JNN
1300,1300,JNS
1301,1301,JNU
1302,1302,JNX
1303,1303,JNZ
1304,1304,JOE
1305,1305,JOG
1306,1306,JOI
1307,1307,JOL
1308,1308,JOS
1309,1309,JPA
1310,1310,JPR
1311,1311,JQA
1312,1312,JQE
1313,1313,JRO
1314,1314,JSH
1315,1315,JSI
1316,1316,JSR
1317,1317,JST
1318,1318,JSU
1319,1319,JSY
1320,1320,JTC
1321,1321,JTR
1322,1322,JTY
1323,1323,JUB
1324,1324,JUH
1325,1325,JUJ
1326,1326,JUK
1327,1327,JUL
1328,1328,JUU
1329,1329,JUV
1330,1330,JUZ
1331,1331,JXA
1332,1332,JYV
1333,1333,JZH
1334,1334,KAA
1335,1335,KAD
1336,1336,KAJ
1337,1337,KAL
1338,1338,KAN
1339,1339,KAO
1340,1340,KAT
1341,1341,KAW
1342,1342,KAZ
1343,1343,KBC
1344,1344,KBL
1345,1345,KBP
1346,1346,KBR
1347,1347,KBU
1348,1348,KBV
1349,1349,KCA
1350,1350,KCG
1351,1351,KCH
1352,1352,KCL
1353,1353,KCM
1354,1354,KCO
1355,1355,KCQ
1356,1356,KCT
1357,1357,KCZ
1358,1358,KDH
1359,1359,KDI
1360,1360,KDM
1361,1361,KDO
1362,1362,KDU
1363,1363,KDV
1364,1364,KEF
1365,1365,KEJ
1366,1366,KEM
1367,1367,KEP
1368,1368,KER
1369,1369,KET
1370,1370,KFP
1371,1371,KFS
1372,1372,KGA
1373,1373,KGC
1374,1374,KGD
1375,1375,KGE
1376,1376,KGF
1377,1377,KGI
1378,1378,KGL
1379,1379,KGP
1380,1380,KGQ
1381,1381,KGS
1382,1382,KGT
1383,1383,KGX
1384,1384,KHD
1385,1385,KHG
1386,1386,KHH
1387,1387,KHI
1388,1388,KHN
1389,1389,KHQ
1390,1390,KHS
1391,1391,KHV
1392,1392,KHY
1393,1393,KHZ
1394,1394,KID
1395,1395,KIH
1396,1396,KIJ
1397,1397,KIM
1398,1398,KIN
1399,1399,KIR
1400,1400,KIS
1401,1401,KIT
1402,1402,KIV
1403,1403,KIX
1404,1404,KJA
1405,1405,KKA
1406,1406,KKB
1407,1407,KKC
1408,1408,KKE
1409,1409,KKH
1410,1410,KKI
1411,1411,KKJ
1412,1412,KKN
1413,1413,KKR
1414,1414,KLG
1415,1415,KLL
1416,1416,KLN
1417,1417,KLO
1418,1418,KLR
1419,1419,KLU
1420,1420,KLV
1421,1421,KLW
1422,1422,KLX
1423,1423,KME
1424,1424,KMG
1425,1425,KMI
1426,1426,KMJ
1427,1427,KMQ
1428,1428,KMS
1429,1429,KND
1430,1430,KNG
1431,1431,KNH
1432,1432,KNQ
1433,1433,KNS
1434,1434,KNU
1435,1435,KNX
1436,1436,KOA
1437,1437,KOC
1438,1438,KOE
1439,1439,KOI
1440,1440,KOJ
1441,1441,KOK
1442,1442,KOO
1443,1443,KOP
1444,1444,KOS
1445,1445,KOT
1446,1446,KOV
1447,1447,KOW
1448,1448,KOZ
1449,1449,KPN
1450,1450,KPO
1451,1451,KPR
1452,1452,KPV
1453,1453,KQA
1454,1454,KQT
1455,1455,KRF
1456,1456,KRK
