node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
0,2965.0,3429.3333333333335,3429.3333333333335,Sochi International Airport,Sochi,Russia,AER,43.449902,39.9566
1,2966.0,820.0,820.0,Astrakhan Airport,Astrakhan,Russia,ASF,46.2832984924,48.0063018799
2,2968.0,2514.0,2514.0,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,CEK,55.305801,61.5033
3,4029.0,52573.71666666667,52708.38333333333,Domodedovo International Airport,Moscow,Russia,DME,55.40879821777344,37.90629959106445
4,6156.0,693.0,693.0,Belgorod International Airport,Belgorod,Russia,EGO,50.643798828125,36.5900993347168
5,2922.0,10248.166666666668,10262.166666666668,Heydar Aliyev International Airport,Baku,Azerbaijan,GYD,40.46749877929688,50.04669952392578
6,2952.0,1685.0,1685.0,Khrabrovo Airport,Kaliningrad,Russia,KGD,54.88999938964844,20.592599868774414
7,2990.0,3007.5,3007.5,Kazan International Airport,Kazan,Russia,KZN,55.606201171875,49.278701782227
8,2948.0,26618.916666666668,26813.583333333336,Pulkovo Airport,St. Petersburg,Russia,LED,59.80030059814453,30.26250076293945
9,2962.0,2771.333333333333,2771.333333333333,Mineralnyye Vody Airport,Mineralnye Vody,Russia,MRV,44.22510147094727,43.08190155029297
10,6969.0,624.6666666666667,624.6666666666667,Begishevo Airport,Nizhnekamsk,Russia,NBC,55.56470108032226,52.09249877929688
11,2972.0,999.3333333333334,999.3333333333334,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,NJC,60.94929885864258,76.48359680175781
12,4364.0,1643.0,1643.0,Novy Urengoy Airport,Novy Urengoy,Russia,NUX,66.06939697265625,76.52030181884766
13,4078.0,11382.0,11873.333333333334,Tolmachevo Airport,Novosibirsk,Russia,OVB,55.012599945068,82.650703430176
14,2975.0,11232.5,11564.0,Koltsovo Airport,Yekaterinburg,Russia,SVX,56.743099212646,60.802700042725
15,6160.0,150.0,150.0,Bugulma Airport,Bugulma,Russia,UUA,54.63999938964844,52.80170059204102
16,2936.0,250.0,250.0,Bratsk Airport,Bratsk,Russia,BTK,56.37060165405274,101.697998046875
